created,modified,id,title,description,creation_date,rating,type,movieId,genres
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08164-0a6c-11ed-98c8-4129adfcc95f,Toy Story , ,1995-01-01,3.9,movie,1,Adventure|Animation|Children|Comedy|Fantasy
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be081fa-0a6c-11ed-98c8-4129adfcc95f,Jumanji ,"Horace McNickle (Edward Asner) is a two-time felon serving prison time for counterfeiting. On the week before Christmas, he escapes from prison dressed as Santa Claus due to his uncanny resemblance to St. Nick resulting from his long white beard and heavyset features. McNickle hides out from the police in a nearby suburban neighborhood where he is befriended and helped by two local children who think he is the real Santa Claus. McNickle takes advantage of the kids naivety to help him get his counterfeit money hidden somewhere in a local department store while he develops kind-hearted feelings for his two con victims that make him slowly understand the true nature of Christmas.",1995-01-01,3.4,movie,2,Adventure|Children|Fantasy
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08240-0a6c-11ed-98c8-4129adfcc95f,Grumpier Old Men ,"Being the son of the world famous rock star, Rock Zilla, may sound wonderful for most people, but Willy has a different opinion. All he wants is a normal life and friends who accept him for himself and not because of his parents. When the Zilla family moves to Silent Springs in semi-retirement, Willy sees his chance. However, that normal life will not be easy to find with his wealthy family stirring things up in their own eccentric ways. Regardless, with the help of two newfound true friends, Willy is ready to deal with his unique challenges in a world that is remarkably new to him.",1995-01-01,3.3,movie,3,Comedy|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08272-0a6c-11ed-98c8-4129adfcc95f,Waiting to Exhale ,"Mother find out from her neighbours, that her teen son is a pornstar with really big tool. This comedy shows how mother and how father deal with this problem.",1995-01-01,2.4,movie,4,Comedy|Drama|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be0829a-0a6c-11ed-98c8-4129adfcc95f,Father of the Bride Part II ,You play an up and coming combat pilot serving the Galactic Empire.,1995-01-01,3.1,movie,5,Comedy
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be082c2-0a6c-11ed-98c8-4129adfcc95f,Heat ,TV show to find the Republic of Ireland's entry for the Eurovision. Winner is decided by public vote.,1995-01-01,3.9,movie,6,Action|Crime|Thriller
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be082ea-0a6c-11ed-98c8-4129adfcc95f,Sabrina , ,1995-01-01,3.2,movie,7,Comedy|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08312-0a6c-11ed-98c8-4129adfcc95f,Tom and Huck ,"George is putting the finishing touches on his Christmas Tree, but he realizes that the same old star isn't special anymore. George looks to the night sky and sees a beautiful star he wants...",1995-01-01,2.9,movie,8,Adventure|Children
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be0833a-0a6c-11ed-98c8-4129adfcc95f,Sudden Death ,"The Driver now carries an arrogant rock star who is visiting a major city (not Pittsburgh as earlier believed). Played by Madonna, this title character wants to get away from her bodyguards in the Driver's BMW. He soon gets tired of her and decides to have a bit of fun.",1995-01-01,3.1,movie,9,Action
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08362-0a6c-11ed-98c8-4129adfcc95f,GoldenEye ,"The Federation starship USS Voyager, chasing a band of Maquis rebels, enters the dangerous space nebula known as the Badlands. Both ships are transported by a distant space probe to the Delta Quadrant, 75,000 light-years from Federation space. Voyager's crew and the Maquis form an uneasy truce to rescue crewmen of both ships, kidnapped by the probe's builder, the powerful, dying Caretaker. The Maquis ship is destroyed in a battle with the warlike Kazons. To prevent a Kazon aggression against a helpless world, Voyager destroys the space probe. Without the probe, it will take 75 years for Voyager to travel back to Federation space. With the differences between them rendered meaningless by time and distance, The Federation and Maquis crews unite aboard Voyager. Together, they embark on their new mission: to boldly go - home.",1995-01-01,3.5,movie,10,Action|Adventure|Thriller
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be0838a-0a6c-11ed-98c8-4129adfcc95f,"American President, The ","Before the Force awakened and prior to the First Order's attack on Jakku, follow the never-before-told stories of Poe Dameron, Han Solo, Chewbacca, Maz Kanata, Rey, Finn, BB-8 and more!",1995-01-01,3.7,movie,11,Comedy|Drama|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be083b2-0a6c-11ed-98c8-4129adfcc95f,Dracula: Dead and Loving It ,"""Star Vehicle"" follows the downward spiral of movie driver Donald Cardini, a self-professed movie buff with a penchant for explosive violence when provoked. Driving the stars of low-budget movies, along with their fragile egos, to and from locations in the middle of nowhere, pushes Don's buttons in all of the wrong directions. When Luke, the young and self-absorbed writer/director challenges Don's authority, murder and mayhem ensues. The movie's Scream Queen' starlet, Riversa Red, to her dismay finds herself the target of Don's obsession. With his encyclopedic knowledge of her ""body"" and body of work, Don worms his way onto Riversa's good side, no easy task. Not knowing whether to fear or friend Don, Riversa finds herself at the center of a cyclone with Luke and Don both vying for her attention. A mysterious Hotel Bellboy and an unknown ""watcher in the woods"" lend themselves to the growing suspense as the cast and crew hold-up at Forest Grove Lodge. After a couple of grueling days into the movie shoot, Don goes berserk, getting himself kicked off of the show. But letting go of Don doesn't come without a price. When he shows up the next day, 9 mm handgun in tow, the cast and crew are forced to act in Don's own home movie. Those who make a stand are dealt a deadly hand and those that await their fate wish they never stepped into the ""Star Vehicle"". Once the wheels of horror start rolling, there's no turning back.",1995-01-01,2.4,movie,12,Comedy|Horror
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be083da-0a6c-11ed-98c8-4129adfcc95f,Balto , ,1995-01-01,3.1,movie,13,Adventure|Animation|Children
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08402-0a6c-11ed-98c8-4129adfcc95f,Nixon ,"This animated series continues the adventures of the USS Enterprise, taking advantage of the visual freedom of animation to present stories with more alien elements.",1995-01-01,3.8,movie,14,Drama
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08420-0a6c-11ed-98c8-4129adfcc95f,Cutthroat Island ,"When Lucky Lyndon decides to start a new talent agency, he persuades highly efficient Ruth Cavour to leave her current job and work as his secretary. Lyndon devotes his agency to finding and representing unknowns who need an opportunity. After a very slow start, Lyndon finally has his first success when he makes some changes in singer Frank Forrester's routine, leading to sudden success. As the business grows, Lyndon becomes closely involved professionally and personally with Suzanne, an opportunistic night club singer. The changes that she brings about in Lyndon are an increasing source of despair for the loyal, devoted Ruth.",1995-01-01,3,movie,15,Action|Adventure|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08448-0a6c-11ed-98c8-4129adfcc95f,Casino , ,1995-01-01,3.9,movie,16,Crime|Drama
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08470-0a6c-11ed-98c8-4129adfcc95f,Sense and Sensibility ,"When a seemingly unstoppable new enemy threatens the very existence of the Earth, Admiral Pavel Chekov (Walter Koenig) is forced to work outside the boundaries of Starfleet's rules to combat this deadly new foe. When planet after planet winks out of existence, yet Starfleet refuses to act, Chekov turns to Commander Tuvok (Tim Russ, who also directs), the new head of Starfleet's covert operations division, Section 31. Together, they assemble a new elite strike-force, consisting of rogues, outcasts and criminals, led by the fearless yet haunted Lexxa Singh (Adrienne Wilkinson). The Renegades' mission is simple: take on an army and stop their leader, Borrada (Bruce Young), from destroying the Earth. Outnumbered and out-gunned, the ragtag crew is in an adrenaline-pumping race against time and space. But they soon find their foes are the least of their concerns: the real trouble may be coming from within!",1995-01-01,3.8,movie,17,Drama|Romance
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be08498-0a6c-11ed-98c8-4129adfcc95f,Four Rooms ,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth can be found.",1995-01-01,3.7,movie,18,Comedy
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be084b6-0a6c-11ed-98c8-4129adfcc95f,Ace Ventura: When Nature Calls ,C-3PO and R2-D2 recount their many experiences throughout the Star Wars films.,1995-01-01,2.7,movie,19,Comedy
2022-07-23 12:46:43.351828+00,2022-07-23 12:46:43.352177+00,5be084de-0a6c-11ed-98c8-4129adfcc95f,Money Train ,"Included on the DVD release of ""A Star is Born"" (1954), this is a live television broadcast of the world premiere. Described by various participants as the biggest world premiere in memory,...",1995-01-01,2.5,movie,20,Action|Comedy|Crime|Drama|Thriller
